Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
1,Luxembourg,219.3,182.5,65.7,75.3,62.4,8.9,27.2,23.3,82.6
2,Netherlands,207.5,124.9,73.6,79.3,63.1,7.7,23.5,21.4,87.0
3,Denmark,205.6,127.2,73.9,78.5,72.3,6.6,27.8,20.8,83.7
4,Oman,204.3,139.8,81.8,65.1,42.4,2.9,21.0,35.0,67.2
5,Switzerland,204.0,158.7,73.9,71.7,101.1,10.4,32.9,23.3,82.0
6,Finland,199.9,118.0,73.8,77.5,63.2,8.4,25.8,11.9,61.1
7,Iceland,199.7,120.3,74.6,67.7,83.0,6.1,21.3,16.0,68.8
8,Austria,190.8,102.4,70.6,77.2,65.1,11.0,23.9,21.2,81.8
9,Norway,189.0,114.7,67.1,76.0,76.0,7.8,26.4,18.2,60.0
10,Sweden,186.7,122.6,51.7,68.3,59.3,7.7,29.1,17.7,73.6
11,Australia,185.5,127.4,52.8,73.1,70.2,8.4,38.0,27.0,93.8
12,United States,185.1,142.3,50.8,68.0,70.4,3.3,33.0,36.5,80.4
13,Germany,185.0,120.2,61.0,72.0,62.2,9.4,30.0,28.7,82.0
14,New Zealand,184.4,121.0,52.1,68.6,64.6,8.8,33.2,26.3,95.5
15,Japan,183.8,117.0,77.3,79.7,46.1,11.3,40.6,38.5,85.3
16,Estonia,183.5,80.4,76.4,75.9,52.0,11.2,21.8,17.0,64.3
17,Qatar,182.9,161.1,84.0,73.4,51.3,5.2,29.1,60.0,36.0
18,Spain,180.8,92.1,64.2,77.7,47.3,8.3,26.5,35.4,91.7
19,Slovenia,177.7,80.9,76.4,66.3,49.9,12.5,25.2,22.0,76.1
20,United Arab Emirates,177.5,127.9,84.4,70.4,55.8,3.9,36.2,48.2,47.1
21,Croatia,172.1,75.0,74.4,65.0,45.5,12.8,25.8,30.8,89.2
22,Czech Republic,171.9,84.0,73.2,75.6,46.6,12.7,29.1,34.9,80.1
23,Lithuania,170.6,75.5,67.5,74.9,47.1,11.9,23.4,26.3,67.8
24,United Kingdom,170.6,115.2,52.2,73.2,62.0,9.1,34.7,40.4,86.0
25,Saudi Arabia,170.5,134.9,76.1,61.1,45.3,3.1,30.1,62.5,55.3
26,Portugal,167.5,56.9,68.8,72.5,45.1,13.3,28.5,28.7,97.6
27,Belgium,163.5,109.8,50.3,75.6,61.1,7.0,35.3,49.5,83.8
28,Singapore,162.3,111.1,77.0,71.9,76.7,18.7,41.0,32.5,57.5
29,Ireland,161.3,101.1,53.2,51.3,64.4,7.2,37.8,34.4,87.8
30,Canada,161.3,103.7,54.5,69.1,64.8,10.4,33.6,29.7,55.0
31,France,159.8,102.4,44.7,77.8,63.7,11.2,34.8,43.7,88.4
32,Latvia,159.4,66.9,62.7,62.4,49.1,9.0,28.9,30.4,74.7
33,Taiwan,158.5,95.1,82.8,86.4,45.2,20.0,32.2,64.5,84.4
34,Israel,157.6,99.4,68.0,73.3,62.7,14.3,36.4,56.8,93.7
35,Cyprus,154.8,71.4,67.4,56.8,54.7,8.1,23.3,55.3,95.7
36,Slovakia,154.4,68.3,69.2,58.5,46.7,14.5,27.5,37.4,80.7
37,Kuwait,152.5,161.8,67.2,57.9,42.1,7.5,35.5,69.4,20.2
38,South Korea,149.5,109.4,75.2,83.0,60.1,20.7,40.6,61.4,68.4
39,Poland,149.3,85.8,70.9,57.7,40.8,11.6,31.8,55.6,75.4
40,South Africa,147.1,102.8,25.2,63.8,34.5,3.3,38.7,56.7,95.3
41,Italy,145.6,78.3,52.9,65.3,56.2,10.2,32.4,53.8,88.9
42,Uruguay,142.7,56.3,47.9,68.4,54.1,10.0,38.7,43.6,98.0
43,Hungary,139.7,63.4,66.7,54.0,41.7,13.5,35.8,46.7,78.4
44,Bulgaria,139.6,68.4,63.4,58.0,38.3,9.3,29.1,63.1,81.2
45,Romania,137.4,63.8,67.7,56.4,37.5,10.4,33.3,58.8,76.3
46,Hong Kong (China),134.5,109.3,78.4,66.0,70.8,30.0,41.9,67.0,83.6
47,Malaysia,133.5,79.9,50.6,70.2,30.0,8.2,37.0,61.4,56.6
48,Greece,131.5,53.0,53.5,57.6,52.0,13.4,33.9,51.8,91.8
49,Bosnia And Herzegovina,130.4,56.9,58.6,55.6,35.0,13.5,26.3,59.8,78.2
50,Turkey,128.8,49.0,59.0,71.1,37.4,11.3,43.8,64.3,93.2
51,Mexico,126.6,45.4,46.3,72.4,40.2,10.7,39.4,58.2,88.5
52,Belarus,125.0,51.8,49.4,48.2,26.4,12.8,31.2,45.2,64.4
53,India,123.8,82.6,55.7,65.4,21.2,11.1,46.5,72.8,65.7
54,Ecuador,122.3,41.6,37.6,68.4,32.6,12.2,37.7,58.8,99.0
55,Jordan,120.7,45.5,59.5,65.0,41.2,7.4,39.4,77.5,89.0
56,Panama,120.7,42.2,57.1,60.1,46.4,12.1,35.2,55.6,67.8
57,Georgia,120.6,35.3,73.9,55.4,33.4,12.9,40.3,68.6,88.5
58,Serbia,120.2,50.2,62.4,52.1,37.7,17.1,30.7,65.2,83.2
59,China,116.4,73.3,75.6,68.3,31.7,29.4,39.4,77.8,78.4
60,Argentina,116.1,41.5,36.2,68.1,29.4,19.6,44.2,50.9,98.3
61,North Macedonia,115.3,51.0,59.0,55.4,33.0,13.3,25.0,79.6,76.3
62,Brazil,113.5,37.2,34.9,59.0,30.2,16.3,40.7,52.5,96.9
63,Azerbaijan,112.5,37.2,68.6,48.3,31.2,14.8,39.9,72.7,91.4
64,Morocco,111.9,38.6,52.4,46.5,29.5,14.6,35.3,68.7,98.1
65,Russia,111.2,50.6,61.1,61.1,31.0,16.0,43.3,59.3,48.9
66,Ukraine,110.7,39.5,53.2,55.6,25.9,15.3,37.9,62.1,72.9
67,Colombia,106.5,33.7,39.0,68.2,28.8,18.4,47.2,62.6,98.4
68,Kenya,106.4,34.2,44.1,61.5,30.2,12.8,50.6,69.0,99.8
69,Pakistan,104.5,29.1,56.6,59.1,18.8,13.3,38.2,73.2,71.9
70,Albania,103.5,39.9,54.6,49.0,42.1,14.1,36.7,77.2,86.4
71,Chile,103.3,45.1,39.9,63.3,39.1,16.4,36.0,77.6,90.2
72,Kazakhstan,102.0,44.7,54.4,60.1,31.7,10.6,35.6,73.2,39.8
73,Indonesia,98.6,31.7,54.0,60.8,26.7,17.3,43.2,67.6,63.8
74,Thailand,98.4,40.8,62.2,77.2,34.1,26.1,38.8,75.7,58.4
75,Vietnam,97.2,40.5,58.2,61.4,28.7,22.6,29.6,84.2,71.2
76,Philippines,90.8,33.3,57.0,67.1,31.0,25.8,42.0,72.6,61.2
77,Lebanon,86.5,25.4,53.4,63.7,41.8,24.3,38.7,89.4,94.7
78,Egypt,86.0,20.0,52.7,47.5,21.0,15.5,48.1,82.7,88.5
79,Peru,84.6,34.8,32.7,56.3,30.0,18.3,48.9,82.5,97.7
80,Iran,80.4,26.0,49.7,52.5,26.4,23.4,46.4,75.3,71.0
81,Sri Lanka,75.2,17.5,57.9,71.0,34.6,39.1,54.6,58.5,59.1
82,Bangladesh,72.6,33.1,38.4,42.2,22.5,12.3,57.6,85.6,71.3
83,Nigeria,42.7,11.0,33.3,48.2,31.4,23.9,64.2,88.2,60.8
