Country,Safety Index,Crime Index,Health Care Index,Pollution Index,Traffic Commute Time Index,Climate Index,Quality of Life Index,Cost of Living Index,Purchasing Power Index
Luxembourg,65.7,35.1,75.3,23.3,27.2,82.6,219.3,62.4,182.5
Netherlands,73.6,27.3,79.3,21.4,23.5,87.0,207.5,63.1,124.9
Denmark,73.9,26.6,78.5,20.8,27.8,83.7,205.6,72.3,127.2
Oman,81.8,19.7,65.1,35.0,21.0,67.2,204.3,42.4,139.8
Switzerland,73.9,23.6,71.7,23.3,32.9,82.0,204.0,101.1,158.7
Finland,73.8,26.8,77.5,11.9,25.8,61.1,199.9,63.2,118.0
Iceland,74.6,24.9,67.7,16.0,21.3,68.8,199.7,83.0,120.3
Austria,70.6,27.3,77.2,21.2,23.9,81.8,190.8,65.1,102.4
Norway,67.1,33.5,76.0,18.2,26.4,60.0,189.0,76.0,114.7
Sweden,51.7,48.5,68.3,17.7,29.1,73.6,186.7,59.3,122.6
Australia,52.8,45.5,73.1,27.0,38.0,93.8,185.5,70.2,127.4
United States,50.8,49.0,68.0,36.5,33.0,80.4,185.1,70.4,142.3
Germany,61.0,37.6,72.0,28.7,30.0,82.0,185.0,62.2,120.2
New Zealand,52.1,45.8,68.6,26.3,33.2,95.5,184.4,64.6,121.0
Japan,77.3,23.1,79.7,38.5,40.6,85.3,183.8,46.1,117.0
Estonia,76.4,25.1,75.9,17.0,21.8,64.3,183.5,52.0,80.4
Qatar,84.0,14.8,73.4,60.0,29.1,36.0,182.9,51.3,161.1
Spain,64.2,35.7,77.7,35.4,26.5,91.7,180.8,47.3,92.1
Slovenia,76.4,24.2,66.3,22.0,25.2,76.1,177.7,49.9,80.9
United Arab Emirates,84.4,15.1,70.4,48.2,36.2,47.1,177.5,55.8,127.9
Croatia,74.4,24.6,65.0,30.8,25.8,89.2,172.1,45.5,75.0
Czech Republic,73.2,26.6,75.6,34.9,29.1,80.1,171.9,46.6,84.0
Lithuania,67.5,33.0,74.9,26.3,23.4,67.8,170.6,47.1,75.5
United Kingdom,52.2,46.9,73.2,40.4,34.7,86.0,170.6,62.0,115.2
Saudi Arabia,76.1,24.6,61.1,62.5,30.1,55.3,170.5,45.3,134.9
Portugal,68.8,31.5,72.5,28.7,28.5,97.6,167.5,45.1,56.9
Belgium,50.3,49.1,75.6,49.5,35.3,83.8,163.5,61.1,109.8
Singapore,77.0,29.2,71.9,32.5,41.0,57.5,162.3,76.7,111.1
Ireland,53.2,45.9,51.3,34.4,37.8,87.8,161.3,64.4,101.1
Canada,54.5,44.3,69.1,29.7,33.6,55.0,161.3,64.8,103.7
France,44.7,55.3,77.8,43.7,34.8,88.4,159.8,63.7,102.4
Latvia,62.7,37.7,62.4,30.4,28.9,74.7,159.4,49.1,66.9
Israel,68.0,32.6,73.3,56.8,36.4,93.7,157.6,62.7,99.4
Cyprus,67.4,31.4,56.8,55.3,23.3,95.7,154.8,54.7,71.4
Slovakia,69.2,31.4,58.5,37.4,27.5,80.7,154.4,46.7,68.3
Kuwait,67.2,32.6,57.9,69.4,35.5,20.2,152.5,42.1,161.8
South Korea,75.2,25.5,83.0,61.4,40.6,68.4,149.5,60.1,109.4
Poland,70.9,29.2,57.7,55.6,31.8,75.4,149.3,40.8,85.8
South Africa,25.2,75.4,63.8,56.7,38.7,95.3,147.1,34.5,102.8
Italy,52.9,46.9,65.3,53.8,32.4,88.9,145.6,56.2,78.3
Uruguay,47.9,52.7,68.4,43.6,38.7,98.0,142.7,54.1,56.3
Hungary,66.7,33.9,54.0,46.7,35.8,78.4,139.7,41.7,63.4
Bulgaria,63.4,38.0,58.0,63.1,29.1,81.2,139.6,38.3,68.4
Romania,67.7,32.0,56.4,58.8,33.3,76.3,137.4,37.5,63.8
Hong Kong (China),78.4,21.5,66.0,67.0,41.9,83.6,134.5,70.8,109.3
Malaysia,50.6,52.9,70.2,61.4,37.0,56.6,133.5,30.0,79.9
Greece,53.5,47.0,57.6,51.8,33.9,91.8,131.5,52.0,53.0
Bosnia And Herzegovina,58.6,42.9,55.6,59.8,26.3,78.2,130.4,35.0,56.9
Turkey,59.0,40.1,71.1,64.3,43.8,93.2,128.8,37.4,49.0
Mexico,46.3,54.4,72.4,58.2,39.4,88.5,126.6,40.2,45.4
Belarus,49.4,56.4,48.2,45.2,31.2,64.4,125.0,26.4,51.8
India,55.7,44.6,65.4,72.8,46.5,65.7,123.8,21.2,82.6
Ecuador,37.6,59.4,68.4,58.8,37.7,99.0,122.3,32.6,41.6
Jordan,59.5,41.0,65.0,77.5,39.4,89.0,120.7,41.2,45.5
Panama,57.1,43.7,60.1,55.6,35.2,67.8,120.7,46.4,42.2
Georgia,73.9,25.9,55.4,68.6,40.3,88.5,120.6,33.4,35.3
Serbia,62.4,38.2,52.1,65.2,30.7,83.2,120.2,37.7,50.2
China,75.6,26.3,68.3,77.8,39.4,78.4,116.4,31.7,73.3
Argentina,36.2,64.3,68.1,50.9,44.2,98.3,116.1,29.4,41.5
North Macedonia,59.0,40.9,55.4,79.6,25.0,76.3,115.3,33.0,51.0
Brazil,34.9,66.6,59.0,52.5,40.7,96.9,113.5,30.2,37.2
Azerbaijan,68.6,31.8,48.3,72.7,39.9,91.4,112.5,31.2,37.2
Morocco,52.4,46.8,46.5,68.7,35.3,98.1,111.9,29.5,38.6
Russia,61.1,39.3,61.1,59.3,43.3,48.9,111.2,31.0,50.6
Ukraine,53.2,46.7,55.6,62.1,37.9,72.9,110.7,25.9,39.5
Colombia,39.0,60.2,68.2,62.6,47.2,98.4,106.5,28.8,33.7
Kenya,44.1,57.0,61.5,69.0,50.6,99.8,106.4,30.2,34.2
Pakistan,56.6,42.3,59.1,73.2,38.2,71.9,104.5,18.8,29.1
Albania,54.6,45.7,49.0,77.2,36.7,86.4,103.5,42.1,39.9
Chile,39.9,58.1,63.3,77.6,36.0,90.2,103.3,39.1,45.1
Kazakhstan,54.4,52.7,60.1,73.2,35.6,39.8,102.0,31.7,44.7
Indonesia,54.0,45.9,60.8,67.6,43.2,63.8,98.6,26.7,31.7
Thailand,62.2,38.7,77.2,75.7,38.8,58.4,98.4,34.1,40.8
Vietnam,58.2,44.5,61.4,84.2,29.6,71.2,97.2,28.7,40.5
Philippines,57.0,42.7,67.1,72.6,42.0,61.2,90.8,31.0,33.3
Lebanon,53.4,46.2,63.7,89.4,38.7,94.7,86.5,41.8,25.4
Egypt,52.7,47.2,47.5,82.7,48.1,88.5,86.0,21.0,20.0
Peru,32.7,67.6,56.3,82.5,48.9,97.7,84.6,30.0,34.8
Iran,49.7,49.9,52.5,75.3,46.4,71.0,80.4,26.4,26.0
Sri Lanka,57.9,41.4,71.0,58.5,54.6,59.1,75.2,34.6,17.5
Bangladesh,38.4,62.6,42.2,85.6,57.6,71.3,72.6,22.5,33.1
Nigeria,33.3,65.5,48.2,88.2,64.2,60.8,42.7,31.4,11.0
